DENSITY,GLASNO,SIO2,AL2O3,B2O3,CAO,K2O,NA2O,Li2O,MgO,ZRO2,FemOn,"Somme (Si, B, Na, Ca, Al, Zr, K, Li, Mg, Fe)"
2.41,20477,57.47,0,21.14,0,15.73,5.64,0,0,0,0,99.98
2.41,20478,56.92,0,20.93,0,18.41,3.72,0,0,0,0,99.98
2.4,20479,56.37,0,20.73,0,21.04,1.84,0,0,0,0,99.98
2.4,20480,55.83,0,20.53,0,23.62,0,0,0,0,0,99.98
2.45,20481,57.8,0,22.32,0,0,19.87,0,0,0,0,99.99
2.46,20482,57.06,0,22.04,0,3.72,17.16,0,0,0,0,99.98
2.46,20483,56.34,0,21.76,0,7.36,14.53,0,0,0,0,99.99
2.46,20484,55.64,0,21.49,0,10.9,11.95,0,0,0,0,99.98
2.45,20485,54.96,0,21.22,0,14.36,9.44,0,0,0,0,99.98
2.45,20486,54.29,0,20.97,0,17.73,7,0,0,0,0,99.99
2.44,20487,53.64,0,20.71,0,21.02,4.61,0,0,0,0,99.98
2.44,20488,52.88,0,20.42,0,24.87,1.81,0,0,0,0,99.98
2.44,20489,52.38,0,20.23,0,27.37,0,0,0,0,0,99.98
2.49,20490,52.9,0,22.29,0,0,24.8,0,0,0,0,99.99
2.49,20491,51.57,0,21.73,0,7.35,19.34,0,0,0,0,99.99
2.48,20492,50.3,0,21.19,0,14.34,14.15,0,0,0,0,99.98
2.48,20493,49.1,0,20.69,0,20.99,9.2,0,0,0,0,99.98
2.47,20494,48.52,0,20.44,0,24.2,6.82,0,0,0,0,99.98
2.47,20495,47.95,0,20.2,0,27.33,4.49,0,0,0,0,99.97
2.46,20496,47.4,0,19.97,0,30.4,2.22,0,0,0,0,99.99
2.46,20497,46.86,0,19.74,0,33.39,0,0,0,0,0,99.99
2.5,20498,44.8,0,22.23,0,0,32.95,0,0,0,0,99.98
2.51,20499,43.83,0,21.75,0,6.32,28.08,0,0,0,0,99.98
2.51,20500,42.97,0,21.32,0,11.97,23.72,0,0,0,0,99.98
2.5,20501,42.14,0,20.91,0,17.4,19.54,0,0,0,0,99.99
2.5,20502,41.26,0,20.47,0,23.13,15.12,0,0,0,0,99.98
