DENSITY,GLASNO,"SOMME (SI, B, NA, CA, AL, ZR, K, LI, MG, FE)",Al_calc,O_calc,B_calc,Ca_calc,K_calc,Li_calc,Mg_calc,Na_calc,Si_calc,Zr_calc,Fe_calc
2.47,20376,99.98,0.0,42.98698989195649,0.0,0.0,9.289353624357721,0.0,0.0,16.758543432775618,30.944346248585312,0.0,0.0
2.32,20381,99.98,0.0,53.61911253166794,4.571192186153405,0.0,0.0,0.0,0.0,5.230089915939269,36.55826767525463,0.0,0.0
2.32,20382,99.98,0.0,53.34221391196725,4.549454179833382,0.0,1.261824621003015,0.0,0.0,4.458558921247519,36.366618400905395,0.0,0.0
2.33,20383,99.99,0.0,53.06721093352792,4.5246107440390695,0.0,2.515347764236273,0.0,0.0,3.7018650610690718,36.17964349910125,0.0,0.0
2.33,20384,99.98,0.0,52.788810995557384,4.499767308244758,0.0,3.752267951930018,0.0,0.0,2.9451712008906243,35.99266859729711,0.0,0.0
2.33,20385,99.98,0.0,52.51818807563829,4.478029301924734,0.0,4.980886661854006,0.0,0.0,2.195895907968828,35.80569369549297,0.0,0.0
2.33,20386,99.98,0.0,52.25207509862805,4.456291295604712,0.0,6.192902416238481,0.0,0.0,1.4540391823036833,35.62339316623393,0.0,0.0
2.33,20387,99.97,0.0,51.979950860439125,4.431447859810399,0.0,7.3966166928532,0.0,0.0,0.7196010238951902,35.44109263697489,0.0,0.0
2.33,20388,99.98,0.0,51.72181206297607,4.4097098534903765,0.0,8.583728013928404,0.0,0.0,0.0,35.26346648026096,0.0,0.0
2.35,20389,99.99,0.0,53.06854390123782,4.568086756679116,0.0,0.0,0.0,0.0,6.728640501782862,35.62339316623393,0.0,0.0
2.36,20390,99.99,0.0,52.794389467573225,4.546348750359093,0.0,1.261824621003015,0.0,0.0,5.9496909398344595,35.4364182644298,0.0,0.0
2.37,20391,99.99,0.0,52.51954931696801,4.521505314564781,0.0,2.515347764236273,0.0,0.0,5.17815994514271,35.25411773517076,0.0,0.0
2.38,20392,99.99,0.0,52.25078770464863,4.499767308244758,0.0,3.752267951930018,0.0,0.0,4.41404751770761,35.07181720591172,0.0,0.0
2.38,20393,99.98,0.0,51.97601483115058,4.474923872450446,0.0,4.980886661854006,0.0,0.0,3.6573536575291627,34.88951667665268,0.0,0.0
2.38,20394,99.98,0.0,51.71264604017643,4.453185866130423,0.0,6.192902416238481,0.0,0.0,2.9080783646073667,34.71189051993875,0.0,0.0
2.38,20395,99.98,0.0,51.44584734622556,4.4283424303361105,0.0,7.3966166928532,0.0,0.0,2.1736402061988738,34.534264363224814,0.0,0.0
2.38,20396,99.98,0.0,51.18787137659665,4.406604424016088,0.0,8.583728013928404,0.0,0.0,1.4392020477903804,34.36131257905598,0.0,0.0
2.38,20397,99.98,0.0,50.930778285404095,4.384866417696064,0.0,9.762537857233854,0.0,0.0,0.7121824566385387,34.18836079488715,0.0,0.0
